EW1 Pasir Ris
EW2 Tampines
EW3 Simei
EW5 Bedok
EW6 Kembangan
EW7 Eunos
EW8 Paya Lebar
EW9 Aljunied
EW10 Kallang
EW11 Lavender
EW12 Bugis
EW13 City Hall
EW14 Raffles Place
EW15 Tanjong Pagar
EW16 Outram Park
EW17 Tiong Bahru
EW18 Redhill
EW19 Queenstown
EW20 Commonwealth
EW21 Buona Vista
EW22 Dover
EW23 Clementi
EW24 Jurong East
EW25 Chinese Garden
EW26 Lakeside
EW27 Boon Lay
EW28 Pioneer
EW29 Joo Koon
EW30 Gul Circle
EW31 Tuas Crescent
EW32 Tuas West Road
EW33 Tuas Link
NS1 Jurong East
NS2 Bukit Batok
NS3 Bukit Gombak
NS4 Choa Chu Kang
NS5 Yew Tee
NS6 Sungei Kadut (2030s)
NS7 Kranji
NS8 Marsiling
NS9 Woodlands
NS10 Admiralty
NS11 Sembawang
NS12 Canberra
NS13 Yishun
NS14 Khatib
NS15 Yio Chu Kang
NS16 Ang Mo Kio
NS17 Bishan
NS18 Braddell
NS19 Toa Payoh
NS20 Novena
NS21 Newton
NS22 Orchard
NS23 Somerset
NS24 Dhoby Ghaut
NS25 City Hall
NS26 Raffles Place
NS27 Marina Bay
NS28 Marina South Pier
